Rank,Player,Points,Country,Characters
1,"King K. Rool",6174,"","King K Rool"
2,"Incineroar",5844,"","Incineroar"
3,"Ridley",5832,"","Ridley"
4,"Byleth",5749,"","Byleth"
5,"Captain Falcon",5626,"","Captain Falcon"
6,"Terry",5611,"","Terry"
7,"Bowser",5594,"","Bowser"
8,"King Dedede",5534,"","King Dedede"
9,"Donkey Kong",5482,"","Donkey Kong"
10,"Mii Brawler",5412,"","Mii Brawler"
11,"Kirby",5391,"","Kirby"
12,"Pyra/Mythra",5386,"","Pyra / Mythra"
13,"Mii Gunner",5149,"","Mii Gunner"
14,"Dr. Mario",5118,"","Dr Mario"
15,"Pokemon Trainer",5067,"","Pokemon Trainer"
16,"Zelda",5012,"","Zelda"
17,"Chrom",4946,"","Chrom"
18,"Dark Samus",4942,"","Dark Samus"
19,"Lucas",4930,"","Lucas"
20,"Piranha Plant",4917,"","Piranha Plant"
21,"Link",4912,"","Link"
22,"Wii Fit Trainer",4855,"","Wii Fit Trainer"
23,"Little Mac",4798,"","Little Mac"
24,"Sora",4789,"","Sora"
25,"Kazuya",4750,"","Kazuya"
26,"Mewtwo",4748,"","Mewtwo"
27,"Olimar",4634,"","Olimar"
28,"Ike",4606,"","Ike"
29,"Ryu",4582,"","Ryu"
30,"Hero",4574,"","Hero"
31,"Snake",4531,"","Snake"
32,"Pit",4524,"","Pit"
33,"Robin",4441,"","Robin"
34,"Steve",4439,"","Steve"
35,"Duck Hunt",4429,"","Duck Hunt"
36,"Young Link",4419,"","Young Link"
37,"Isabelle",4381,"","Isabelle"
38,"Meta Knight",4309,"","Meta Knight"
39,"Min Min",4287,"","Min Min"
40,"Shulk",4282,"","Shulk"
41,"Joker",4263,"","Joker"
42,"Falco",4208,"","Falco"
43,"Ice Climbers",4203,"","Ice Climbers"
44,"Luigi",4200,"","Luigi"
45,"Lucario",4196,"","Lucario"
46,"Banjo & Kazooie",4159,"","Banjo-Kazooie"
47,"Ness",4153,"","Ness"
48,"Roy",4125,"","Roy"
49,"Toon Link",4112,"","Toon Link"
50,"Sonic",4111,"","Sonic"
51,"Greninja",4110,"","Greninja"
52,"Yoshi",4073,"","Yoshi"
53,"Pichu",4072,"","Pichu"
54,"Ganondorf",4047,"","Ganondorf"
55,"Dark Pit",3946,"","Dark Pit"
56,"Sephiroth",3941,"","Sephiroth"
57,"Bowser Jr.",3874,"","Bowser Jr"
58,"Villager",3785,"","Villager"
59,"Marth",3765,"","Marth"
60,"Palutena",3732,"","Palutena"
61,"Rosalina & Luma",3702,"","Rosalina And Luma"
62,"Ken",3699,"","Ken"
63,"Cloud",3671,"","Cloud"
64,"Lucina",3649,"","Lucina"
65,"Richter",3551,"","Richter"
66,"Mega Man",3476,"","Mega Man"
67,"Mii Swordfighter",3444,"","Mii Swordfighter"
68,"Corrin",3440,"","Corrin"
69,"Daisy",3366,"","Daisy"
70,"Wolf",3362,"","Wolf"
71,"Sheik",3355,"","Sheik"
72,"Diddy Kong",3338,"","Diddy Kong"
73,"Pac-Man",3325,"","Pac Man"
74,"Peach",3208,"","Peach"
75,"Mario",2999,"","Mario"
76,"Mr. Game & Watch",2974,"","Mr Game And Watch"
77,"Fox",2815,"","Fox"
78,"Bayonetta",2731,"","Bayonetta"
79,"Inkling",2632,"","Inkling"
80,"Rob",2541,"","Rob"
81,"Samus",2538,"","Samus"
82,"Wario",2395,"","Wario"
83,"Pikachu",2168,"","Pikachu"
84,"Jigglypuff",2083,"","Jigglypuff"
85,"Zero Suit Samus",1857,"","Zero Suit Samus"
86,"Simon",1165,"","Simon"
